order_id,user_id,purchase_at,amount
o_00000001,u_002210,2025-01-15,58595
o_00000002,u_002210,2025-01-30,78934
o_00000003,u_002210,2025-02-12,43406
o_00000004,u_002210,2025-02-18,134129
o_00000005,u_001389,2025-01-12,129222
o_00000006,u_001389,2025-01-18,201387
o_00000007,u_001389,2025-01-20,138096
o_00000008,u_001389,2025-01-22,82681
o_00000009,u_001389,2025-01-26,79016
o_00000010,u_001078,2025-01-01,71811
o_00000011,u_001078,2025-01-04,44753
o_00000012,u_001078,2025-01-09,78713
o_00000013,u_001078,2025-01-15,38466
o_00000014,u_001078,2025-01-19,88599
o_00000015,u_012800,2025-01-06,152524
o_00000016,u_012800,2025-01-08,137067
o_00000017,u_000429,2025-01-11,128409
o_00000018,u_000429,2025-01-11,183776
o_00000019,u_000429,2025-01-14,162707
o_00000020,u_000429,2025-01-18,244507
o_00000021,u_000429,2025-01-19,135661
o_00000022,u_000429,2025-01-27,248605
o_00000023,u_000429,2025-01-31,213882
o_00000024,u_000429,2025-02-02,92425
o_00000025,u_000429,2025-02-02,200281
o_00000026,u_011461,2025-03-10,37523
o_00000027,u_011186,2025-02-10,35657
o_00000028,u_013807,2025-01-01,119108
o_00000029,u_013807,2025-01-03,108137
o_00000030,u_013807,2025-01-11,141563
o_00000031,u_011412,2025-02-15,96910
o_00000032,u_010704,2025-02-16,149283
o_00000033,u_001112,2025-01-01,54164
o_00000034,u_001112,2025-01-04,157625
o_00000035,u_001112,2025-01-07,131387
o_00000036,u_001112,2025-01-09,103858
o_00000037,u_001112,2025-01-11,109256
o_00000038,u_001112,2025-01-13,58213
o_00000039,u_001112,2025-01-25,73001
o_00000040,u_000369,2025-01-07,288592
o_00000041,u_000369,2025-01-18,172176
o_00000042,u_000369,2025-01-19,331455
o_00000043,u_000369,2025-01-25,190468
o_00000044,u_000369,2025-01-25,137072
o_00000045,u_000369,2025-01-25,305299
o_00000046,u_000369,2025-02-04,135926
o_00000047,u_000369,2025-02-04,198766
o_00000048,u_000369,2025-02-06,183440
o_00000049,u_000369,2025-02-11,152642
o_00000050,u_000933,2025-01-01,53661
o_00000051,u_000933,2025-01-01,66530
o_00000052,u_000933,2025-01-02,155062
o_00000053,u_000933,2025-01-02,158129
o_00000054,u_000933,2025-01-03,93848
o_00000055,u_000933,2025-01-03,58793
o_00000056,u_000933,2025-01-04,162213
o_00000057,u_000933,2025-01-04,114197
o_00000058,u_000933,2025-01-05,114673
o_00000059,u_000933,2025-01-06,148098
o_00000060,u_001072,2025-01-01,156074
o_00000061,u_001072,2025-01-06,75594
o_00000062,u_001072,2025-01-09,151970
o_00000063,u_001072,2025-01-14,166808
o_00000064,u_001072,2025-01-15,98595
o_00000065,u_001072,2025-01-18,94834
o_00000066,u_001072,2025-01-24,96188
o_00000067,u_001072,2025-01-27,80394
o_00000068,u_001072,2025-01-28,122900
o_00000069,u_001905,2025-01-17,123096
o_00000070,u_001905,2025-01-22,116895
o_00000071,u_001905,2025-01-24,65827
o_00000072,u_001905,2025-01-26,140800
o_00000073,u_001905,2025-01-28,144178
o_00000074,u_001905,2025-01-29,152959
o_00000075,u_012476,2025-01-01,171634
o_00000076,u_012476,2025-01-11,68510
o_00000077,u_012476,2025-01-13,72208
o_00000078,u_000995,2025-01-11,119828
o_00000079,u_000995,2025-01-15,81168
o_00000080,u_000995,2025-01-21,133028
o_00000081,u_000995,2025-01-22,45709
o_00000082,u_000995,2025-02-04,131752
o_00000083,u_000995,2025-02-10,137146
o_00000084,u_000995,2025-02-21,112613
o_00000085,u_000995,2025-02-24,94533
o_00000086,u_000995,2025-02-26,131540
o_00000087,u_011098,2025-02-26,86982
o_00000088,u_001384,2025-01-10,53197
o_00000089,u_001384,2025-01-14,65755
o_00000090,u_001384,2025-01-20,69234
o_00000091,u_001384,2025-01-20,53104
o_00000092,u_001384,2025-01-26,56782
o_00000093,u_001384,2025-02-07,46552
o_00000094,u_014959,2025-01-24,46247
o_00000095,u_014959,2025-01-27,120413
o_00000096,u_014959,2025-02-02,90042
o_00000097,u_000222,2025-01-07,106488
o_00000098,u_000222,2025-01-07,235368
o_00000099,u_000222,2025-01-27,296158
o_00000100,u_000222,2025-02-02,198944
o_00000101,u_000222,2025-02-04,221322
o_00000102,u_000222,2025-02-14,153559
o_00000103,u_000222,2025-02-21,105562
o_00000104,u_000222,2025-02-22,196617
o_00000105,u_000222,2025-02-24,321958
o_00000106,u_011280,2025-03-22,29932
o_00000107,u_000427,2025-01-03,88844
o_00000108,u_000427,2025-01-07,134727
o_00000109,u_000427,2025-01-18,177836
o_00000110,u_000427,2025-01-19,219058
o_00000111,u_000427,2025-01-29,155688
o_00000112,u_000427,2025-02-03,67709
o_00000113,u_000427,2025-02-14,215651
o_00000114,u_000427,2025-02-15,199427
o_00000115,u_000427,2025-02-18,114404
o_00000116,u_000427,2025-02-24,169633
o_00000117,u_001003,2025-01-13,173356
o_00000118,u_001003,2025-01-18,65772
o_00000119,u_001003,2025-01-23,186916
o_00000120,u_001003,2025-01-24,57050
o_00000121,u_013691,2025-01-20,110710
o_00000122,u_011216,2025-01-04,32630
o_00000123,u_014999,2025-01-07,138929
